場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定)
6,06_1,7,1,ターコイズテソーロ,100.8,96.66,94.3,,,,108.47059,A,69.0,123.75,S,,,,,,,,,76.0,D
6,06_1,7,2,オッピポイカ,90.5,76.23,73.2,E,,,69.875,E,69.0,,,71.0,66.5,E,,,,,,89.66667,
6,06_1,7,3,スリーコーズ,94.3,83.28,81.0,,,,94.6875,,69.0,84.25,,,,,,,,,,76.0,D
6,06_1,7,4,ニンジャトットリ,81.3,61.75,56.5,E,,,74.29412,E,69.0,5.667,E,67.333,,E,,,,,,66.33333,E
6,06_1,7,5,アイスメルティング,92.6,80.02,79.9,D,,,71.82353,E,69.0,,,,84.7,,,,,,,94.0,
6,06_1,7,6,ケイベエ,94.5,83.65,84.6,,,,87.11765,,69.0,124.75,S,,,,,,,,,57.66667,E
6,06_1,7,7,ノボリフジ,85.4,67.76,60.5,E,,,88.52941,,69.0,8.5,E,,,,,,,,,76.0,D
6,06_1,7,8,イトシサ,90.0,75.41,69.1,E,,,99.23529,B,69.0,31.0,E,,,,,,,,,77.0,D
6,06_1,7,9,カプリースカラー,70.4,48.05,48.6,E,,,73.625,E,69.0,31.5,E,,,,,,,,,20.28571,E
6,06_1,7,10,セイカユウヒ,75.0,53.39,52.2,E,,,77.0625,D,69.0,8.5,E,,,,,,,,,54.42857,E
6,06_1,7,11,ムーンブランシュ,94.3,83.26,74.4,E,,,103.88889,A,69.0,71.5,E,67.0,56.0,E,,,,,,78.88889,D
6,06_1,7,12,ジーティーソレイユ,93.3,81.25,71.7,E,,,107.29412,A,69.0,30.0,E,,,,,,,,,80.44444,
6,06_1,7,13,クールフィールド,95.8,86.19,86.3,,,,75.05882,D,69.0,122.25,S,,,,,,,,,79.0,D
6,06_1,7,14,コロッセウム,87.4,71.05,70.2,E,,,81.82353,,69.0,,,,67.0,E,,,,,,63.0,E
6,06_1,7,15,タケノリダー,95.3,85.19,82.8,,,,94.5625,,69.0,88.5,,,,,,,,,,79.0,D
6,06_1,7,16,コハクロン,88.4,72.62,72.8,E,,,80.23529,,69.0,81.5,,,,,,,,,,60.3,E
6,06_2,7,1,ブルーサーマル,90.5,76.33,75.2,D,,,89.26667,,69.0,,,72.667,,E,71.75,,E,,,73.11111,E
6,06_2,7,2,サプーズ,89.4,74.26,74.3,E,,,87.0625,,69.0,,,,,,67.75,,E,,,73.22222,E
6,06_2,7,3,マスカルポーネ,90.1,75.54,74.3,E,,,92.0,,69.0,,,69.667,,E,64.0,,E,,,76.77778,D
6,06_2,7,4,ホールドザデイ,90.0,75.38,74.5,E,,,89.25,,69.0,,,74.0,,E,66.25,,E,,,74.0,E
6,06_2,7,5,ティンブロポップ,93.8,82.22,79.9,D,,,116.76471,S,69.0,74.5,E,,,,64.0,,E,,,75.44444,D
6,06_2,7,6,トラストレガート,88.2,72.28,72.3,E,,,85.1875,,69.0,,,,,,64.25,,E,,,70.66667,E
6,06_2,7,7,グラスハーティー,90.4,76.14,76.1,D,,,91.8125,,69.0,,,,,,67.75,,E,,,76.0,D
6,06_2,7,8,アリストクラット,87.1,70.47,64.3,E,,,86.86667,,69.0,25.0,E,,,,64.25,,E,,,76.44444,D
6,06_2,7,9,アンデルストープ,88.8,73.34,73.1,E,,,73.625,E,69.0,78.0,D,,,,67.75,,E,,,77.0,D
6,06_2,7,10,バーヴァンシー,88.0,72.04,71.4,E,,,81.44444,,69.0,,,,68.45,E,64.0,,E,,,74.0,E
6,06_2,7,11,ハングローズ,90.5,76.28,73.3,E,,,94.5,,69.0,,,66.0,66.5,E,67.75,,E,,,75.88889,D
6,06_2,7,12,ポイズンオーク,89.0,73.58,65.8,E,,,87.33333,,69.0,25.0,E,,63.1,E,68.0,,E,,,82.44444,
6,06_2,7,13,ナンヨーリクエスト,92.5,79.86,76.9,D,,,106.11111,A,69.0,73.0,E,72.0,,E,64.0,,E,,,77.55556,D
6,06_2,7,14,フラクタル,88.2,72.38,71.1,E,,,81.76471,,69.0,59.25,E,,,,66.25,,E,,,79.0,D
6,06_2,7,15,ジャストマイウェイ,87.4,71.04,66.0,E,,,99.0,B,69.0,11.333,E,,,,70.75,,E,,,80.0,
6,06_2,7,16,フィーユレアル,84.8,66.83,63.2,E,,,89.72222,,69.0,8.5,E,,,,67.75,,E,,,81.2,
6,06_3,7,1,ジェイエルモーダル,90.0,75.29,74.2,E,,,88.375,,69.0,74.75,E,,,,,,,,,64.66667,E
6,06_3,7,2,ウインターアヘッド,85.3,67.59,63.0,E,,,97.26667,B,69.0,9.75,E,,,,,,,,,76.0,D
6,06_3,7,3,ソニックキャット,88.6,72.94,71.7,E,,,87.4375,,69.0,,,66.667,,E,,,,,,63.77778,E
6,06_3,7,4,マリブ,81.3,61.7,57.5,E,,,76.5,D,69.0,8.333,E,,,,,,,,,76.0,D
6,06_3,7,5,クルスデルスール,90.9,76.92,75.6,D,,,76.4,D,69.0,119.0,S,,55.0,E,,,,,,58.77778,E
6,06_3,7,6,マイネルオランチア,83.4,64.71,58.0,E,,,81.9375,,69.0,6.5,E,,,,,,,,,74.44444,E
6,06_3,7,7,フィールマイプラン,86.4,69.33,69.3,E,,,82.875,,69.0,,,,,,,,,,,56.11111,E
6,06_3,7,8,モータリゼーション,85.5,67.99,68.7,E,,,91.83333,,69.0,64.5,E,80.333,64.25,E,,,,,,42.55556,E
6,06_3,7,9,アオハルブルース,82.6,63.58,56.8,E,,,81.25,,69.0,4.0,E,,,,,,,,,73.0,E
6,06_3,7,10,ウルヴァリン,92.5,79.79,80.9,,,,82.17647,,69.0,114.5,A,,,,,,,,,57.875,E
6,06_3,7,11,ロケットパンチ,92.9,80.63,78.8,D,,,91.5625,,69.0,81.5,,,,,,,,,,73.0,E
6,06_3,7,12,オーキッドワン,92.3,79.5,79.5,D,,,86.9375,,69.0,,,,,,,,,,,82.55556,
6,06_3,7,13,アデルフィー,90.4,76.13,74.9,E,,,88.66667,,69.0,75.75,D,,,,,,,,,66.22222,E
6,06_3,7,14,ヴァンデスペランス,94.8,84.22,81.4,,,,96.9375,B,69.0,81.25,,,,,,,,,,78.55556,D
6,06_3,7,15,ブレイズランナー,75.0,53.42,50.8,E,,,82.125,,69.0,4.0,E,,,,,,,,,48.14286,E
6,06_3,7,16,ユイノサダハル,87.6,71.24,62.4,E,,,89.82353,,69.0,5.667,E,73.5,,E,,,,,,74.0,E
6,06_5,15,1,ボンヴィアッジョ,91.8,78.57,78.4,D,79.2,84.6,74.5,E,59.0,,,,,,,,,,,95.5,D
6,06_5,15,2,フレキシブル,85.0,67.23,64.2,E,79.2,73.6,68.66667,E,59.0,,,,,,,,,,,55.625,E
6,06_5,15,3,エリンフレーム,89.2,74.07,72.8,E,79.2,73.75,79.33333,D,59.0,,,,,,,,,,,79.0,D
6,06_5,15,4,アルナブ,90.2,75.65,74.8,E,79.2,64.4,106.5,A,59.0,,,,,,,,,,,69.125,E
6,06_5,15,5,カツノサーティーン,89.8,75.0,73.9,E,79.2,83.75,83.0,,59.0,,,,,,,,,,,70.0,E
6,06_5,15,6,ブラックゲイル,91.2,77.52,77.1,D,79.2,86.8,70.16667,E,59.0,,,,,,,,,,,92.375,
6,06_5,15,7,マイトリックスター,93.2,81.05,81.5,,79.2,91.6,72.8,E,59.0,,,,,,,,,,,102.625,A
6,06_5,15,8,ホウオウライラック,85.9,68.52,65.8,E,79.2,67.0,77.0,D,59.0,,,,,,,,,,,60.33333,E
6,06_5,15,9,タッチザスカイ,88.6,73.05,71.5,E,79.2,75.0,73.0,E,59.0,,,,,,,,,,,79.0,D
6,06_5,15,10,リゾートライン,90.7,76.62,76.0,D,79.2,65.4,105.33333,A,59.0,,,,,,,,,,,74.125,E
6,06_5,15,11,ヨドノヒロイン,89.4,74.41,73.2,E,79.2,79.8,75.0,D,59.0,,,,,,,,,,,79.0,D
6,06_5,15,12,ヴォンドゥ,94.3,83.16,84.1,,79.2,108.2,96.33333,B,59.0,,,,,,,,,,,73.0,E
6,06_5,15,13,スカット,87.4,70.92,68.8,E,79.2,75.5,67.83333,E,59.0,,,,,,,,,,,73.0,E
6,06_5,15,14,アイファーセラピー,89.3,74.2,72.9,E,79.2,67.75,102.0,A,59.0,,,,,,,,,,,63.0,E
6,06_5,15,15,スローモーション,90.1,75.57,74.6,E,79.2,72.25,87.33333,,59.0,,,,,,,,,,,80.0,
6,06_5,15,16,カンノンミッキー,86.3,69.28,66.8,E,79.2,79.6,92.42857,,59.0,,,,,,,,,,,36.14286,E
6,06_6,7,1,ハロングロットル,92.6,79.96,77.8,D,,,99.86667,B,69.0,76.5,D,,,,,,,,,66.0,E
6,06_6,7,2,シデンイッセン,90.7,76.63,75.4,D,,,92.125,,69.0,77.5,D,,,,,,,,,63.11111,E
6,06_6,7,3,ウインターブレス,82.7,63.66,59.9,E,,,93.875,,69.0,7.5,E,,,,,,,,,69.11111,E
6,06_6,7,4,ゼータレティクル,91.7,78.45,77.0,D,,,100.13333,A,69.0,79.5,D,,,,,,,,,59.22222,E
6,06_6,7,5,ウインベルチェーロ,91.8,78.56,75.4,D,,,100.1875,A,69.0,59.75,E,,,,,,,,,72.66667,E
6,06_6,7,6,アイスアンドスノー,93.0,80.84,80.8,,,,85.0625,,69.0,,,,,,,,,,,88.44444,
6,06_6,7,7,エリュグレイス,87.8,71.59,67.0,E,,,97.0625,B,69.0,30.0,E,,,,,,,,,72.11111,E
6,06_6,7,8,ウインリフレクト,101.0,97.06,94.9,,,,117.0,S,69.0,127.75,S,,,,,,,,,66.0,E
6,06_6,7,9,ノーブルジャッカル,81.6,62.19,59.2,E,,,66.64706,E,69.0,31.5,E,,,,,,,,,69.66667,E
6,06_6,7,10,マイネルアイフェル,84.0,65.71,61.5,E,,,100.5625,A,69.0,8.5,E,,,,,,,,,67.88889,E
6,06_6,7,11,サトノマティーニ,88.6,73.03,67.0,E,,,97.75,B,69.0,29.0,E,,,,,,,,,72.33333,E
6,06_6,7,12,アドマイヤウルトラ,81.6,62.17,58.8,E,,,87.29412,,69.0,7.5,E,,,,,,,,,71.22222,E
6,06_6,7,13,マナイアカラニ,90.1,75.52,75.9,D,,,83.625,,69.0,92.75,,,,,,,,,,58.11111,E
6,06_6,7,14,アンヴデット,97.3,89.2,84.9,,,,99.375,B,69.0,78.5,D,,,,,,,,,92.88889,
6,06_6,7,15,ガードオブオナー,97.7,89.96,88.9,,,,92.86667,,69.0,119.5,S,,,,,,,,,74.33333,E
6,06_6,7,16,グルノーブル,90.8,76.77,74.0,E,,,102.8,A,69.0,59.25,E,,,,,,,,,65.0,E
6,06_6,7,17,ベアドッキューン,90.8,76.82,76.7,D,,,83.1875,,69.0,91.25,,,,,,,,,,63.44444,E
6,06_6,7,18,タイセイスタナー,90.2,75.72,75.7,D,,,80.55556,,69.0,,,,,,,,,,,77.6,D
6,06_7,23,1,フィールオーサム,84.9,66.95,61.5,E,,,83.8125,,75.0,4.0,E,,,,71.5,,E,,,73.0,E
6,06_7,23,2,ノーブルノワール,92.4,79.61,76.9,D,,,95.77778,D,75.0,73.0,E,66.333,,E,66.0,,E,,,85.44444,
6,06_7,23,3,ノアチュロス,90.6,76.36,76.4,D,,,87.4375,,75.0,,,,,,70.0,,E,,,73.0,E
6,06_7,23,4,キョウエイフロイデ,88.7,73.14,72.4,E,,,94.88235,,75.0,67.25,E,69.0,,E,66.25,,E,,,61.88889,E
6,06_7,23,5,マーキュリーダイム,94.5,83.53,84.5,,,,108.70588,A,75.0,115.0,S,,,,60.75,,E,,,63.0,E
6,06_7,23,6,ラジャアンパット,92.4,79.66,79.0,D,,,96.70588,B,75.0,79.75,D,,,,69.75,,E,,,74.0,E
6,06_7,23,7,ラルガメンテ,83.4,64.79,59.7,E,,,78.3125,D,75.0,4.0,E,,,,72.25,,E,,,69.11111,E
