場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定),騎手,騎手(判定)
6,06_1,7,1,イッツソーブライト,89.1,73.8,74.0,E,,,71.0,E,69.0,122.5,S,,55.0,E,,,,,,73.0,E,53.625,E
6,06_1,7,3,プラチナムディスク,86.0,68.72,70.6,E,,,68.05882,E,69.0,5.667,E,,134.9,S,,,,,,73.0,E,73.14286,E
6,06_1,7,4,ヘイマー,78.3,57.58,59.5,E,,,94.94118,,69.0,64.0,E,,,,,,,,,52.0,E,17.71429,E
6,06_1,7,5,グレイシエーション,89.8,75.08,73.6,E,,,124.94118,S,69.0,64.75,E,,,,,,,,,64.77778,E,44.44444,E
6,06_1,7,6,モーゲンセン,82.7,63.66,59.7,E,,,73.4375,E,69.0,5.667,E,,,,,,,,,80.0,,70.22222,E
6,06_1,7,7,ツクバヴァンガード,88.4,72.59,72.8,E,,,74.17647,E,69.0,82.25,,,,,,,,,,71.33333,E,67.0,E
6,06_1,7,8,アルクノワール,79.8,59.6,56.9,E,,,84.58824,,69.0,11.667,E,,,,,,,,,47.22222,E,72.0,E
6,06_1,7,9,ロット,82.4,63.27,63.6,E,,,92.76471,,69.0,56.0,E,,,,,,,,,61.11111,E,38.875,E
6,06_1,7,10,マーガレットクレア,93.7,82.03,81.3,,,,85.05882,,69.0,121.75,S,72.333,66.5,E,,,,,,80.0,,74.44444,E
6,06_1,7,11,リナシタ,96.2,86.88,87.9,,,,73.3125,E,69.0,137.5,S,,,,,,,,,74.0,E,85.55556,
6,06_1,7,12,クリオロゴールド,90.4,76.06,75.5,D,,,79.8125,D,69.0,81.25,,,,,,,,,,72.77778,E,74.5,E
6,06_1,7,13,ネオアカジョウ,91.9,78.72,70.9,E,,,91.5625,,69.0,25.0,E,,,,,,,,,74.0,E,95.0,
6,06_1,7,14,ポルタシャーンス,87.4,71.04,73.3,E,,,77.05882,D,69.0,65.5,E,98.0,,B,,,,,,65.66667,E,64.33333,E
6,06_1,7,15,ジャンプストリート,95.0,84.5,76.2,D,,,128.23529,S,69.0,30.0,E,,,,,,,,,76.0,D,77.77778,D
6,06_1,7,16,ステキサプライズ,76.8,55.63,53.7,E,,,95.72222,D,69.0,11.667,E,,,,,,,,,41.0,E,51.2,E
6,06_2,7,1,イサチルクイーン,89.8,74.96,75.9,D,,,87.0,,69.0,,,,86.8,,74.75,,E,,,75.0,D,63.1,E
6,06_2,7,2,ローズプリンセス,88.0,71.97,73.0,E,,,72.375,E,69.0,96.0,B,,,,70.25,,E,,,62.25,E,68.0,E
6,06_2,7,3,タートルインメイ,93.3,81.24,79.6,D,,,99.0,B,69.0,76.25,D,,,,72.25,,E,,,81.0,,80.11111,
