場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,ターコイズテソーロ,6.64,45.22,0.696,E,65.0,1.0,1.04443,D,1.013,0.658,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.696
6,06_1,7,2,オッピポイカ,10.15,69.14,0.988,,70.0,1.0,1.02576,,1.013,1.0,,0.949,0.871,E,1.0,1.0,,1.0,,1.15016,A,0.988
6,06_1,7,3,スリーコーズ,13.36,91.0,1.293,SS,70.4,1.0,1.01508,,1.013,1.098,B,1.0,1.0,,1.0,1.0,,1.0,,1.14541,A,1.293
6,06_1,7,4,ニンジャトットリ,4.52,30.79,0.422,E,73.0,1.0,1.04863,D,1.013,0.4,E,0.985,1.0,,1.0,1.0,,1.0,,1.00892,,0.422
6,06_1,7,5,アイスメルティング,16.05,109.33,1.333,SS,82.0,1.0,1.18192,S,1.013,1.0,,1.0,1.032,,1.0,1.0,,1.0,,1.07888,B,1.333
6,06_1,7,6,ケイベエ,3.36,22.91,0.342,E,67.0,1.0,0.43833,E,1.013,0.75,E,1.0,1.0,,1.0,1.0,,1.0,,1.0263,,0.342
6,06_1,7,7,ノボリフジ,1.56,10.63,0.196,E,54.0,1.0,0.98942,,1.013,0.196,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.196
6,06_1,7,8,イトシサ,0.61,4.18,0.051,E,82.0,1.0,0.48501,E,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.051
6,06_1,7,9,カプリースカラー,0.02,0.12,0.002,E,59.0,1.0,1.31638,SS,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,0.01469,E,0.002
6,06_1,7,10,セイカユウヒ,9.86,67.19,0.861,E,78.0,1.0,1.09391,B,1.013,0.838,E,1.0,1.0,,1.0,1.0,,1.0,,0.92758,D,0.861
6,06_1,7,11,ムーンブランシュ,5.11,34.8,0.669,E,52.0,1.0,1.08679,B,1.013,0.621,E,0.932,0.953,D,1.0,1.0,,1.0,,1.10106,A,0.669
6,06_1,7,12,ジーティーソレイユ,0.78,5.29,0.073,E,73.0,1.0,0.54117,E,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.27244,SS,0.073
6,06_1,7,13,クールフィールド,9.76,66.48,0.91,D,73.0,1.0,1.05471,B,1.013,0.852,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.91
6,06_1,7,14,コロッセウム,10.83,73.76,1.039,,71.0,1.0,1.17163,S,1.013,1.0,,1.0,0.875,D,1.0,1.0,,1.0,,1.0,,1.039
6,06_1,7,15,タケノリダー,4.09,27.85,0.569,E,49.0,1.0,0.93427,D,1.013,0.601,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.569
6,06_1,7,16,コハクロン,3.3,22.47,0.401,E,56.0,1.0,1.11953,A,1.013,0.758,E,1.0,1.0,,1.0,1.0,,1.0,,0.46695,E,0.401
6,06_2,7,1,ブルーサーマル,12.15,98.75,1.3,SS,76.0,1.0,1.20186,S,1.013,1.0,,0.977,1.0,,0.988,1.0,,1.0,,1.10595,A,1.3
6,06_2,7,2,サプーズ,3.75,30.45,0.544,E,56.0,1.0,1.16977,S,1.013,1.0,,1.0,1.0,,0.946,1.0,D,1.0,,0.48507,E,0.544
6,06_2,7,3,マスカルポーネ,7.75,63.01,0.956,D,66.0,1.0,1.01411,,1.013,1.0,,0.933,1.0,D,0.92,1.0,D,1.0,,1.08368,B,0.956
6,06_2,7,4,ホールドザデイ,9.5,77.21,1.072,B,72.0,1.0,1.06514,B,1.013,1.0,,1.008,1.0,,0.986,1.0,,1.0,,1.0,,1.072
6,06_2,7,5,ティンブロポップ,6.41,52.1,0.778,E,67.0,1.0,1.11618,A,1.013,0.725,E,1.0,1.0,,0.92,1.0,D,1.0,,1.03119,,0.778
6,06_2,7,6,トラストレガート,4.84,39.38,0.985,,40.0,1.0,1.07495,B,1.013,1.0,,1.0,1.0,,0.897,1.0,D,1.0,,1.0083,,0.985
6,06_2,7,7,グラスハーティー,7.79,63.35,0.975,,65.0,1.0,1.01721,,1.013,1.0,,1.0,1.0,,0.946,1.0,D,1.0,,1.0,,0.975
6,06_2,7,8,アリストクラット,0.27,2.16,0.037,E,59.0,1.0,1.10476,A,1.013,0.036,E,1.0,1.0,,0.897,1.0,D,1.0,,1.01544,,0.037
6,06_2,7,9,アンデルストープ,6.69,54.39,0.824,E,66.0,1.0,1.19029,S,1.013,0.722,E,1.0,1.0,,0.946,1.0,D,1.0,,1.0,,0.824
6,06_2,7,10,バーヴァンシー,7.63,62.04,0.985,,63.0,1.0,1.08371,B,1.013,1.0,,1.0,0.975,,0.92,1.0,D,1.0,,1.0,,0.985
6,06_2,7,11,ハングローズ,8.08,65.68,0.925,D,71.0,1.0,1.05132,B,1.013,1.0,,0.939,0.871,E,0.946,1.0,D,1.0,,1.12217,A,0.925
6,06_2,7,12,ポイズンオーク,0.23,1.84,0.036,E,51.0,1.0,1.19398,S,1.013,0.036,E,1.0,0.861,E,0.922,1.0,D,1.0,,1.04664,D,0.036
6,06_2,7,13,ナンヨーリクエスト,4.22,34.28,0.647,E,53.0,1.0,1.05477,B,1.013,0.647,E,0.91,1.0,D,0.92,1.0,D,1.0,,1.1175,A,0.647
6,06_2,7,14,フラクタル,8.3,67.51,0.877,D,77.0,1.0,1.07077,B,1.013,0.82,E,1.0,1.0,,0.986,1.0,,1.0,,1.0,,0.877
6,06_2,7,15,ジャストマイウェイ,3.03,24.64,0.456,E,54.0,1.0,1.10507,A,1.013,0.416,E,1.0,1.0,,0.979,1.0,,1.0,,1.0,,0.456
6,06_2,7,16,フィーユレアル,9.37,76.2,1.003,,76.0,1.0,1.09318,B,1.013,0.835,E,1.0,1.0,,0.946,1.0,D,1.0,,1.14676,A,1.003
