場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_1,7,1,イッツソーブライト,3.81,29.57,0.591,E,50.0,1.0,1.15365,A,1.013,0.531,E,1.0,0.93,D,1.0,1.0,,1.0,,1.0,,1.02476,,0.591
6,06_1,7,2,キタノトゥシャイン,0.82,6.38,0.123,E,52.0,0.22364,1.05008,B,1.013,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.04699,D,0.49277,E,0.123
6,06_1,7,3,プラチナムディスク,1.99,15.48,0.212,E,73.0,1.0,1.13556,A,1.013,0.4,E,1.0,1.027,,1.0,1.0,,1.0,,1.0,,0.449,E,0.212
6,06_1,7,4,ヘイマー,0.9,6.99,0.097,E,72.0,1.0,1.06031,B,1.013,0.818,E,1.0,1.0,,1.0,1.0,,1.0,,1.01076,,0.10934,E,0.097
6,06_1,7,5,グレイシエーション,9.91,76.98,0.987,,78.0,1.0,1.14843,A,1.013,0.832,E,1.0,1.0,,1.0,1.0,,1.0,,0.97394,,1.04744,D,0.987
6,06_1,7,6,モーゲンセン,4.32,33.57,0.494,E,68.0,1.0,1.16068,S,1.013,0.4,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.05052,B,0.494
6,06_1,7,7,ツクバヴァンガード,10.63,82.52,1.085,B,76.0,1.0,1.1292,A,1.013,0.874,D,1.0,1.0,,1.0,1.0,,1.0,,0.99718,,1.08863,B,1.085
6,06_1,7,8,アルクノワール,3.17,24.63,0.425,E,58.0,1.0,1.06728,B,1.013,0.418,E,1.0,1.0,,1.0,1.0,,1.0,,0.94944,D,0.99088,,0.425
6,06_1,7,9,ロット,1.33,10.34,0.152,E,68.0,1.0,1.15503,A,1.013,0.808,E,1.0,1.0,,1.0,1.0,,1.0,,0.87993,D,0.18275,E,0.152
6,06_1,7,10,マーガレットクレア,6.19,48.05,0.666,E,72.0,1.0,1.0322,,1.013,0.76,E,0.935,0.871,E,1.0,1.0,,1.0,,1.0,,1.02973,,0.666
6,06_1,7,11,リナシタ,16.54,128.48,1.713,SS,75.0,1.0,1.34983,SS,1.013,1.229,S,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.01942,,1.713
6,06_1,7,12,クリオロゴールド,28.82,223.83,2.152,SS,104.0,1.0,1.42513,SS,1.013,0.967,,1.0,1.0,,1.0,1.0,,1.0,,1.09549,B,1.40691,SS,2.152
6,06_1,7,13,ネオアカジョウ,0.07,0.51,0.018,E,29.0,1.0,0.43758,E,1.013,0.036,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.09952,B,0.018
6,06_1,7,14,ポルタシャーンス,3.82,29.67,0.486,E,61.0,1.0,1.09818,B,1.013,0.758,E,0.5,1.0,E,1.0,1.0,,1.0,,1.2435,S,0.92693,D,0.486
6,06_1,7,15,ジャンプストリート,0.44,3.45,0.054,E,64.0,1.0,1.00754,,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.50859,E,0.054
6,06_1,7,16,ステキサプライズ,7.24,56.2,1.081,B,52.0,1.0,1.04029,D,1.013,0.847,E,1.0,1.0,,1.0,1.0,,1.0,,1.0689,B,1.13345,A,1.081
6,06_2,7,1,イサチルクイーン,17.5,84.07,1.357,SS,62.0,1.0,1.13995,A,1.013,1.0,,1.0,1.012,,1.023,1.0,,1.0,,1.09682,B,1.03473,,1.357
6,06_2,7,2,ローズプリンセス,18.4,88.42,1.164,S,76.0,1.0,1.21658,S,1.013,0.867,E,1.0,1.0,,1.03,1.0,,1.0,,0.9632,,1.09823,B,1.164
6,06_2,7,3,タートルインメイ,5.94,28.52,0.549,E,52.0,1.0,1.01027,,1.013,0.66,E,1.0,1.0,,0.911,1.0,D,1.0,,0.81857,E,1.08948,B,0.549
6,06_2,7,4,レイナロハルンバ,0.36,1.73,0.096,E,18.0,1.0,0.48667,E,1.013,1.0,,1.0,0.936,D,0.887,1.0,D,1.0,,1.0,,0.23457,E,0.096
6,06_2,7,5,ピアス,1.63,7.81,0.112,E,70.0,1.0,1.13736,A,1.013,0.104,E,1.0,1.0,,1.03,1.0,,1.0,,1.0,,0.90497,D,0.112
6,06_2,7,6,デルマホダカ,13.81,66.34,1.124,A,59.0,1.0,1.2463,S,1.013,0.787,E,1.0,1.0,,0.988,1.0,,1.0,,1.00267,,1.14185,A,1.124
6,06_2,7,7,サラサチャチャチャ,0.39,1.87,0.039,E,48.0,1.0,1.04564,D,1.013,0.036,E,1.0,1.0,,0.986,1.0,,1.0,,1.0,,1.04193,D,0.039
6,06_2,7,8,エイシンイクサボシ,0.63,3.02,0.087,E,35.0,1.0,1.11819,A,1.013,0.676,E,1.0,1.0,,0.897,1.0,D,1.0,,1.04505,D,0.12051,E,0.087
