場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_1,7,1,クロスボーダー,15.74,38.89,0.462,E,81.0,1.0,0.48958,E,1.013,1.05,B,1.0,1.0,,1.089,1.0,B,1.0,,0.85355,E,0.95517,D,1.03845,,0.462
10,10_1,7,2,テーオーアンジェラ,4.5,11.13,0.327,E,68.0,1.0,0.42582,E,1.013,0.785,E,1.0,1.0,,0.986,1.0,,1.0,,1.0,,0.98062,,0.49993,E,0.327
10,10_1,7,3,ブエノスオプティマ,1.75,4.33,0.064,E,70.0,1.0,1.19243,S,1.013,0.036,E,1.0,1.074,B,1.134,1.0,A,1.0,,1.01096,,1.19178,S,0.97253,,0.064
10,10_1,7,4,ドウカキミニトドケ,26.59,65.69,0.971,,51.0,1.0,1.08027,B,1.013,0.842,E,1.0,1.0,,0.946,1.0,D,1.0,,1.09252,B,1.01937,,1.32657,SS,0.971
10,10_1,7,5,サンミスメロディ,0.03,0.07,0.003,E,50.0,1.0,0.4787,E,1.013,0.036,E,1.0,0.932,D,0.897,1.0,D,1.0,,1.0,,0.21898,E,0.46711,E,0.003
10,10_1,7,6,モーニングダリア,1.01,2.49,0.436,E,50.0,1.0,1.07117,B,1.013,1.0,,1.0,0.875,D,0.946,1.0,D,1.0,,1.0,,0.48583,E,0.11424,E,0.436
10,10_1,7,7,ブルームザスマイル,3.73,9.22,0.238,E,41.0,1.0,0.46069,E,1.013,0.731,E,0.514,1.0,E,0.885,1.0,D,1.0,,1.30933,SS,1.16906,S,0.94632,D,0.238
10,10_1,7,8,アスターラングル,12.28,30.33,0.541,E,52.0,0.49142,1.00721,,1.013,1.0,,1.0,1.0,,0.982,1.0,,1.0,,0.99375,,1.10548,A,1.07796,B,0.541
10,10_1,7,9,ポプリーニ,5.28,13.05,0.209,E,54.0,1.0,1.29063,SS,1.013,0.816,E,1.0,1.0,,0.946,1.0,D,1.0,,1.00216,,0.20652,E,1.15761,A,0.209
10,10_1,7,10,エアトベーレ,4.28,10.57,0.138,E,71.0,1.0,0.44731,E,1.013,1.146,A,1.0,1.0,,1.045,1.0,D,1.0,,1.05424,B,0.24141,E,1.07825,B,0.138
