場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,キョウエイハル,2.18,17.38,0.543,E,32.0,1.0,0.91724,D,1.018,0.681,E,1.0,1.0,,0.904,1.0,D,1.0,,0.94403,D,0.543
6,06_1,7,2,コウソクユノ,7.68,61.19,0.887,D,69.0,1.0,1.06984,B,1.018,0.655,E,1.0,1.06,B,0.984,1.0,,1.0,,1.19179,S,0.887
6,06_1,7,3,ジャメビュ,11.17,88.93,1.235,S,72.0,1.0,1.02699,,1.018,1.0,,0.965,1.0,,1.066,1.0,B,1.0,,1.14821,A,1.235
6,06_1,7,4,ルージュノヴァ,0.89,7.1,0.215,E,33.0,1.0,0.89503,D,1.018,0.481,E,0.79,0.874,E,0.757,1.0,E,1.0,,0.9386,D,0.215
6,06_1,7,5,フラゲルムデイ,1.49,11.84,0.382,E,31.0,1.0,0.8026,E,1.018,0.556,E,1.0,1.0,,0.757,1.0,E,1.0,,1.11054,A,0.382
6,06_1,7,6,ヴィビーム,5.96,47.42,0.624,E,76.0,1.0,0.8432,E,1.018,0.681,E,1.0,1.0,,0.963,1.0,,1.0,,1.10828,A,0.624
6,06_1,7,7,チャーミングアイ,7.92,63.1,0.914,D,69.0,1.0,0.8513,E,1.018,1.0,,1.0,1.0,,1.055,1.0,B,1.0,,1.0,,0.914
6,06_1,7,8,カンレイスター,7.96,63.36,0.823,E,77.0,1.0,1.00251,,1.018,0.657,E,1.0,1.0,,1.227,1.0,S,1.0,,1.0,,0.823
6,06_1,7,9,ローズライズ,1.3,10.38,0.212,E,49.0,1.0,0.89623,D,1.018,0.409,E,0.755,0.935,E,0.768,1.0,E,1.0,,1.04787,D,0.212
6,06_1,7,10,フェルアフリーゼ,3.96,31.52,0.485,E,65.0,1.0,1.06389,B,1.018,0.647,E,0.865,0.82,E,0.908,1.0,D,1.0,,1.07448,B,0.485
6,06_1,7,11,ライヴレッドアイ,25.26,201.14,2.395,SS,84.0,1.0,1.10545,A,1.018,1.0,,1.167,1.212,SS,1.227,1.0,S,1.0,,1.22629,S,2.395
6,06_1,7,12,ルクスアンジュ,1.26,10.05,0.197,E,51.0,1.0,0.76344,E,1.018,0.49,E,0.782,0.871,E,0.768,1.0,E,1.0,,0.98981,,0.197
6,06_1,7,13,オレンジキャンパス,8.61,68.59,0.94,D,73.0,1.0,1.25612,SS,1.018,0.747,E,1.0,1.0,,0.984,1.0,,1.0,,1.0,,0.94
6,06_1,7,14,ミッキーパラソル,5.22,41.54,0.649,E,64.0,1.0,1.27683,SS,1.018,0.593,E,1.0,1.0,,0.842,1.0,E,1.0,,1.0,,0.649
6,06_1,7,15,ジョリュウジャンシ,1.86,14.81,0.37,E,40.0,1.0,0.83039,E,1.018,0.652,E,0.821,1.0,E,0.818,1.0,E,1.0,,1.0,,0.37
6,06_1,7,16,オレンジリバー,7.28,57.93,0.817,E,71.0,1.0,0.97967,,1.018,0.736,E,1.0,1.0,,0.898,1.0,D,1.0,,1.23909,S,0.817
6,06_2,7,1,フーディエラン,9.48,70.83,1.124,A,63.0,1.0,1.47836,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.124
6,06_2,7,2,ベルウッドピース,7.95,59.4,0.802,E,74.0,1.0,1.10744,A,1.018,0.655,E,1.0,1.0,,1.0,1.0,,1.0,,1.08669,B,0.802
6,06_2,7,3,ティラーノ,7.61,56.85,0.98,,58.0,1.0,1.11342,A,1.018,0.734,E,1.0,1.0,,1.0,1.0,,1.0,,1.17813,S,0.98
6,06_2,7,4,レーヴドクロンヌ,1.81,13.53,0.376,E,36.0,1.0,0.87856,D,1.018,0.556,E,0.782,1.0,E,1.0,1.0,,1.0,,0.96727,,0.376
6,06_2,7,5,ホッカイダイオー,4.38,32.74,0.606,E,54.0,1.0,0.91333,D,1.018,0.652,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.606
6,06_2,7,6,ビリージェイ,5.19,38.77,0.657,E,59.0,1.0,1.10171,A,1.018,0.55,E,1.0,1.0,,1.0,1.0,,1.0,,1.06444,B,0.657
6,06_2,7,7,メイプルインパクト,2.4,17.9,0.716,E,25.0,1.0,0.78122,E,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.90011,D,0.716
6,06_2,7,8,コパノエイダン,2.09,15.64,0.281,E,55.7,1.0,0.69961,E,1.018,0.502,E,0.809,1.0,E,1.0,1.0,,1.0,,0.97216,,0.281
6,06_2,7,9,ジーティームーチョ,3.2,23.93,0.613,E,39.0,1.0,0.81862,E,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.08066,B,0.613
6,06_2,7,10,スターゲイザー,1.67,12.5,0.625,E,20.0,1.0,0.97447,,1.018,0.58,E,1.0,1.0,,1.0,1.0,,1.0,,1.08649,B,0.625
6,06_2,7,11,ウインデイブレイク,7.91,59.1,1.055,B,56.0,1.0,1.03656,,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.055
6,06_2,7,12,アルデキングダム,14.33,107.07,1.338,SS,80.0,1.0,1.13235,A,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.16095,S,1.338
6,06_2,7,13,ノーブルホライズン,5.51,41.17,0.792,E,52.0,1.0,1.08066,B,1.018,0.72,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.792
6,06_2,7,14,トップデュオ,10.7,79.94,1.08,B,74.0,1.0,1.06104,B,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.08
6,06_2,7,15,ニシノロッドマン,10.77,80.44,1.133,A,71.0,1.0,1.0291,,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08131,B,1.133
6,06_2,7,16,カフェタンガロア,4.99,37.31,0.746,E,50.0,1.0,1.251,SS,1.018,0.519,E,1.0,1.0,,1.0,1.0,,1.0,,1.12858,A,0.746
6,06_3,7,1,キョンチャン,11.23,93.78,1.399,SS,67.0,1.0,1.39447,SS,1.018,1.073,B,1.0,1.0,,1.0,1.0,,1.0,,0.9187,D,1.399
6,06_3,7,2,アクシズ,6.09,50.81,0.794,E,64.0,1.0,1.14822,A,1.018,0.679,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.794
6,06_3,7,3,サノノキャニオン,9.7,80.99,1.079,B,75.0,1.0,1.10132,A,1.018,0.657,E,1.0,1.175,S,1.0,1.0,,1.0,,1.24713,S,1.079
6,06_3,7,4,スノーランス,5.39,44.98,0.633,E,71.0,1.0,1.09267,B,1.018,0.656,E,1.0,1.0,,1.0,1.0,,1.0,,0.8677,E,0.633
6,06_3,7,5,イーアンベ,3.56,29.72,0.457,E,65.0,1.0,0.82103,E,1.018,0.558,E,1.0,0.876,D,1.0,1.0,,1.0,,1.11873,A,0.457
6,06_3,7,6,スフェーンテソーロ,4.51,37.63,0.649,E,58.0,1.0,0.93544,D,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.649
6,06_3,7,7,ダイユウサルターレ,8.08,67.47,0.911,D,74.0,1.0,0.83989,E,1.018,1.066,B,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.911
6,06_3,7,8,タイセイエキサイト,3.95,32.97,0.672,E,49.0,1.0,0.88782,D,1.018,0.65,E,1.0,1.0,,1.0,1.0,,1.0,,1.14433,A,0.672
6,06_3,7,9,ミスタートントン,7.73,64.5,0.872,D,74.0,1.0,1.14617,A,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.872
6,06_3,7,10,サトミノアカリ,3.19,26.61,0.429,E,62.0,1.0,0.70113,E,1.018,0.547,E,1.0,0.876,D,1.0,1.0,,1.0,,1.25522,SS,0.429
6,06_3,7,11,ガルディーノ,4.13,34.47,0.565,E,61.0,1.0,0.85813,E,1.018,0.681,E,1.0,0.867,E,1.0,1.0,,1.0,,1.09493,B,0.565
6,06_3,7,12,コックピットサイト,8.87,74.05,1.028,,72.0,1.0,1.20913,S,1.018,0.735,E,1.0,1.0,,1.0,1.0,,1.0,,1.13639,A,1.028
6,06_3,7,13,グラスリッキー,4.48,37.4,0.55,E,68.0,1.0,0.83897,E,1.018,0.652,E,1.0,0.935,D,1.0,1.0,,1.0,,1.0559,B,0.55
6,06_3,7,14,エンカウンターベイ,7.09,59.16,0.87,D,68.0,1.0,1.16554,S,1.018,0.733,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.87
6,06_3,7,15,ヘイスティハート,5.31,44.36,0.634,E,70.0,1.0,0.84942,E,1.018,0.681,E,1.0,1.076,B,1.0,1.0,,1.0,,1.0,,0.634
6,06_3,7,16,オンマイビート,6.69,55.84,0.797,E,70.0,1.0,0.96863,,1.018,0.681,E,1.0,1.066,B,1.0,1.0,,1.0,,1.11399,A,0.797
6,06_4,15,1,アンジュレーヌ,7.31,75.08,0.947,D,79.2,1.04033,0.98007,,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.0,,0.947
6,06_4,15,2,リオハリソンメリー,8.49,87.15,1.1,A,79.2,0.95361,1.24102,S,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.0,,1.1
6,06_4,15,3,エコロストーム,7.33,75.29,0.95,D,79.2,1.00209,1.06071,B,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,0.96186,,0.95
6,06_4,15,4,ギャニミード,10.95,112.46,1.419,SS,79.2,1.13602,1.25688,SS,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.06955,B,1.419
6,06_4,15,5,パルフェ,8.65,88.78,1.12,A,79.2,1.238,0.97376,,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.0,,1.12
6,06_4,15,6,ラブカニュー,8.25,84.74,1.069,B,79.2,1.18298,1.03966,,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,0.93563,D,1.069
6,06_4,15,7,アースアクシス,10.5,107.81,1.36,SS,79.2,1.12654,1.16083,S,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.11951,A,1.36
6,06_4,15,8,ナズドゥラヴィ,8.85,90.85,1.146,A,79.2,1.03478,1.07518,B,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.1089,A,1.146
6,06_4,15,9,スイートハイデン,6.95,71.32,0.9,D,79.2,1.01345,1.03271,,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,0.92533,D,0.9
6,06_4,15,10,メイアイリス,6.58,67.55,0.852,E,79.2,1.06834,0.85865,E,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.0,,0.852
6,06_4,15,11,ガーヴィ,7.35,75.47,0.952,D,79.2,1.11709,1.01989,,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,0.89951,D,0.952
6,06_4,15,12,ニューハイ,8.78,90.15,1.138,A,79.2,1.04081,1.17616,S,0.968,1.0,,1.0,1.0,,0.96,1.0,,1.0,,1.0,,1.138
6,06_5,15,1,コンヴァーンクル,4.64,66.01,0.848,E,77.9,0.88809,1.07059,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.9211,D,0.848
6,06_5,15,2,オンザギャラクシー,6.97,99.11,1.273,SS,77.9,1.09465,1.05207,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.14171,A,1.273
6,06_5,15,3,オリオンブレード,7.13,101.35,1.302,SS,77.9,1.18052,1.00957,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.12819,A,1.302
6,06_5,15,4,バトルモクオ,5.51,78.3,1.006,,77.9,1.05467,0.98493,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.006
6,06_5,15,5,インタノン,8.16,116.03,1.49,SS,77.9,1.33625,1.01961,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.12984,A,1.49
6,06_5,15,6,バルドル,6.41,91.1,1.17,S,77.9,1.10928,1.08953,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.17
6,06_5,15,7,カレリアフレイバー,7.98,113.47,1.457,SS,77.9,1.31247,1.01718,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.12759,A,1.457
6,06_5,15,8,チャンピオンホープ,6.81,96.82,1.243,S,77.9,1.21162,0.9668,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.09654,B,1.243
6,06_5,15,9,サヴマ,5.91,84.08,1.08,B,77.9,1.07947,1.03333,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.08
6,06_5,15,10,カタカムナ,5.91,84.02,1.079,B,77.9,1.15845,0.96525,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.99688,,1.079
6,06_5,15,11,ランブレイ,7.34,104.34,1.34,SS,77.9,1.21958,0.99972,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.13536,A,1.34
6,06_5,15,12,リアルケンチャン,5.44,77.34,0.993,,77.9,1.01655,1.00929,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.993
6,06_5,15,13,ピースフルマインド,6.45,91.7,1.178,S,77.9,1.03089,1.06474,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.1083,A,1.178
6,06_5,15,14,ランザワールド,6.13,87.17,1.119,A,77.9,1.06975,1.08107,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.119
6,06_5,15,15,アルメーリス,9.24,131.45,1.688,SS,77.9,1.25282,1.13212,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.22951,S,1.688
6,06_6,23,1,ロードスカイブルー,8.73,80.52,0.895,D,90.0,1.0,1.01985,,1.038,0.845,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.895
6,06_6,23,2,ガラスノブルース,7.94,73.26,0.951,D,77.0,1.0,0.97408,,1.038,1.0,,0.951,1.0,D,1.0,1.0,,1.0,,0.98899,,0.951
6,06_6,23,3,タリスマン,3.59,33.08,0.551,E,60.0,1.0,1.02002,,1.038,0.624,E,0.863,1.0,E,1.0,1.0,,1.0,,0.96588,,0.551
6,06_6,23,4,ロジルーラー,6.77,62.46,0.753,E,83.0,1.0,0.97452,,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.996,,0.753
6,06_6,23,5,ロードインフェルノ,2.82,26.01,0.456,E,57.0,1.0,0.79326,E,1.038,0.647,E,0.801,1.0,E,1.0,1.0,,1.0,,1.06931,B,0.456
6,06_6,23,6,プロスペクトパーク,7.55,69.66,0.893,D,78.0,1.0,0.97437,,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.1815,S,0.893
6,06_6,23,7,グラスビジョン,3.64,33.55,0.486,E,69.0,1.0,0.85653,E,1.038,0.547,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.486
6,06_6,23,8,ナムラジミー,4.94,45.6,0.616,E,74.0,1.0,0.81216,E,1.038,0.624,E,1.0,1.0,,1.0,1.0,,1.0,,1.17055,S,0.616
6,06_6,23,9,コスモシェルベット,2.48,22.87,0.424,E,54.0,1.0,0.79276,E,1.038,0.49,E,1.0,1.0,,1.0,1.0,,1.0,,1.05047,B,0.424
6,06_6,23,10,コーリンカルベラ,5.28,48.73,0.602,E,81.0,1.0,0.78281,E,1.038,0.61,E,1.0,1.0,,1.0,1.0,,1.0,,1.21461,S,0.602
6,06_6,23,11,ミスティブルー,6.35,58.58,0.658,E,89.0,1.0,0.99076,,1.038,0.719,E,1.0,1.0,,1.0,1.0,,1.0,,0.89023,D,0.658
6,06_6,23,12,マリンバンカー,13.6,125.42,1.476,SS,85.0,1.0,0.99759,,1.038,1.0,,0.989,1.0,,1.0,1.0,,1.0,,1.44119,SS,1.476
6,06_6,23,13,ブレードサクセス,7.5,69.15,1.002,,69.0,1.0,1.02727,,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.93981,D,1.002
6,06_6,23,14,ウインファヴォリ,4.42,40.77,0.6,E,68.0,1.0,0.93655,D,1.038,0.561,E,1.0,1.0,,1.0,1.0,,1.0,,1.09991,B,0.6
6,06_6,23,15,ニシノブレイゼスト,7.99,73.7,0.945,D,78.0,1.0,0.92845,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.98035,,0.945
6,06_6,23,16,ファルコンミノル,6.39,58.98,0.746,E,79.0,1.0,0.90484,D,1.038,0.681,E,1.0,1.054,B,1.0,1.0,,1.0,,1.10709,A,0.746
