場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_1,7,1,イッツソーブライト,1.42,15.08,0.302,E,50.0,1.0,0.86303,E,1.018,0.409,E,1.0,0.909,D,1.0,1.0,,1.0,,1.0,,0.92386,D,0.302
6,06_1,7,3,プラチナムディスク,4.37,46.28,0.634,E,73.0,1.0,0.91814,D,1.018,0.656,E,1.0,1.053,B,1.0,1.0,,1.0,,1.0,,0.9816,,0.634
6,06_1,7,4,ヘイマー,4.18,44.3,0.616,E,72.0,1.0,1.05455,B,1.018,0.696,E,1.0,1.0,,1.0,1.0,,1.0,,0.95815,D,0.85975,E,0.616
6,06_1,7,5,グレイシエーション,7.79,82.53,1.058,B,78.0,1.0,1.3514,SS,1.018,0.745,E,1.0,1.0,,1.0,1.0,,1.0,,1.04851,D,0.98412,,1.058
6,06_1,7,6,モーゲンセン,4.66,49.41,0.726,E,68.0,1.0,0.97867,,1.018,0.656,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.11132,A,0.726
6,06_1,7,7,ツクバヴァンガード,7.0,74.22,0.977,,76.0,1.0,0.91047,D,1.018,0.95,D,1.0,1.0,,1.0,1.0,,1.0,,1.00326,,1.1058,A,0.977
6,06_1,7,8,アルクノワール,4.42,46.81,0.807,E,58.0,1.0,1.0875,B,1.018,0.736,E,1.0,1.0,,1.0,1.0,,1.0,,0.88943,D,1.11415,A,0.807
6,06_1,7,9,ロット,2.68,28.4,0.418,E,68.0,1.0,1.0524,B,1.018,0.643,E,1.0,1.0,,1.0,1.0,,1.0,,0.64487,E,0.94016,D,0.418
6,06_1,7,10,マーガレットクレア,3.53,37.44,0.52,E,72.0,1.0,0.88178,D,1.018,0.789,E,0.911,0.859,E,1.0,1.0,,1.0,,1.0,,0.93789,D,0.52
6,06_1,7,11,リナシタ,18.79,199.2,2.656,SS,75.0,1.0,1.44515,SS,1.018,1.687,SS,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.07024,B,2.656
6,06_1,7,12,クリオロゴールド,27.0,286.21,2.751,SS,104.0,1.0,1.56261,SS,1.018,1.064,B,1.0,1.0,,1.0,1.0,,1.0,,1.12101,A,1.45006,SS,2.751
6,06_1,7,13,ネオアカジョウ,1.72,18.27,0.63,E,29.0,1.0,0.9429,D,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.96318,,0.63
6,06_1,7,14,ポルタシャーンス,3.3,34.93,0.573,E,61.0,1.0,0.84032,E,1.018,0.642,E,0.957,1.0,D,1.0,1.0,,1.0,,1.16745,S,0.9339,D,0.573
6,06_1,7,15,ジャンプストリート,5.01,53.11,0.83,E,64.0,1.0,1.03789,,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.05137,B,0.83
