場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_1,7,1,クロスボーダー,10.01,77.39,1.013,,81.0,1.0,0.91158,D,1.018,1.231,S,1.0,1.0,,1.143,1.0,A,1.0,,0.82993,E,0.93447,D,0.94312,D,1.013
10,10_1,7,2,テーオーアンジェラ,4.77,36.88,0.483,E,68.0,1.0,0.74287,E,1.018,0.683,E,1.0,1.0,,0.963,1.0,,1.0,,1.0,,0.97011,,1.12342,A,0.483
10,10_1,7,3,ブエノスオプティマ,12.93,99.95,1.335,SS,70.0,1.0,1.22122,S,1.018,0.681,E,1.0,1.127,A,1.227,1.0,S,1.0,,1.07648,B,1.05968,B,1.06811,B,1.335
10,10_1,7,4,ドウカキミニトドケ,6.93,53.58,0.808,E,51.0,1.0,1.07527,B,1.018,0.719,E,1.0,1.0,,0.898,1.0,D,1.0,,1.1181,A,1.02268,,1.30071,SS,0.808
10,10_1,7,5,サンミスメロディ,2.5,19.36,0.403,E,50.0,1.0,0.90218,D,1.018,0.681,E,1.0,0.909,D,0.794,1.0,E,1.0,,1.0,,0.89218,D,0.9607,,0.403
10,10_1,7,6,モーニングダリア,4.01,30.97,0.644,E,50.0,1.0,0.84142,E,1.018,1.0,,1.0,0.897,D,0.898,1.0,D,1.0,,1.0,,0.93292,D,0.96282,,0.644
10,10_1,7,7,ブルームザスマイル,2.08,16.09,0.483,E,41.0,1.0,0.81447,E,1.018,0.551,E,0.95,1.0,D,0.768,1.0,E,1.0,,1.30419,SS,1.11136,A,0.81244,E,0.483
10,10_1,7,8,アスターラングル,7.55,58.35,1.087,B,52.0,0.96994,1.05334,B,1.018,1.0,,1.0,1.0,,0.96,1.0,,1.0,,0.98046,,1.11063,A,1.0317,,1.087
10,10_1,7,9,ポプリーニ,4.17,32.24,0.509,E,54.0,1.0,1.143,A,1.018,0.671,E,1.0,1.0,,0.898,1.0,D,1.0,,0.9187,D,0.78991,E,1.1742,S,0.509
10,10_1,7,10,エアトベーレ,15.38,118.89,1.648,SS,71.0,1.0,1.00796,,1.018,1.347,SS,1.0,1.0,,1.066,1.0,B,1.0,,0.9906,,1.12883,A,1.01634,,1.648
10,10_1,7,11,モチモチチャン,5.75,44.42,0.769,E,55.0,1.0,0.76597,E,1.018,1.0,,1.0,0.981,,0.842,1.0,E,1.0,,1.14053,A,1.04638,D,1.05078,B,0.769
10,10_1,7,12,ジャミールアイン,10.2,78.89,1.116,A,67.0,1.0,1.13329,A,1.018,0.657,E,1.0,1.0,,1.055,1.0,B,1.0,,1.16931,S,1.19319,S,1.05515,B,1.116
10,10_1,7,13,クリコメリー,2.28,17.63,0.289,E,62.0,1.0,0.71454,E,1.018,0.539,E,0.843,1.0,E,0.842,1.0,E,1.0,,1.16544,S,0.88995,D,0.98427,,0.289
10,10_1,7,14,エンジェルグラース,2.96,22.9,0.365,E,65.0,1.0,0.852,E,1.018,0.588,E,1.0,0.876,D,0.847,1.0,E,1.0,,1.12893,A,0.85548,E,0.9644,,0.365
